country,date,population_density,total_population,urban_population_pct,fertility_rate,age_dependency_ratio,life_expectancy,infant_mortality,gdp_per_capita,gross_capital_form_pct,inflation_rate,trade_pct_gdp,fdi_inflows_pct,country-year,gdp_growth,country_code
Canada,1993,3.19942848156117,0.01594840233982809,77.152,1.69,47.8733970605816,77.7048780487805,6.2,0.21222701665441815,18.4749885213182,1.86507936507938,58.2507961453047,0.721601695039315,Canada 1993,-3.644484985190366,2
Canada,1994,3.23466308408036,0.01617096434926828,77.414,1.69,47.9228535685981,77.8717073170732,6.0,0.21021877436327643,19.5160940033233,0.165562913907289,64.3915441455001,1.64516287712472,Canada 1994,-0.9371230282800624,2
Canada,1995,3.26830816488374,0.016383486025574993,77.675,1.67,47.8659553983646,77.9773170731707,5.8,0.21745885589507122,19.380342728238,2.14876033057849,69.0617480799547,2.25387303530621,Canada 1995,3.4104604841638686,2
Canada,1996,3.30265135925243,0.016600417388576143,77.951,1.63,47.7466285226035,78.220243902439,5.6,0.22401237762977103,18.9277232582103,1.57053112507139,70.2600734560392,1.39828193256897,Canada 1996,2.985244020074518,2
Canada,1997,3.33563636079723,0.01680876962473943,78.34,1.57,47.5699325112839,78.4124390243903,5.5,0.23043057933989566,21.218002084034,1.6212163808453,74.3366100816522,2.31796973451973,Canada 1997,2.8388565806821697,2
Canada,1998,3.36343430828311,0.016984357444905784,78.724,1.56,47.3120936453039,78.6236585365854,5.4,0.2211207732545934,21.0452729764529,0.995942456658026,78.0811853628611,3.93993821737615,Canada 1998,-4.004179025703336,2
Canada,1999,3.39088515089358,0.017157752751093373,79.103,1.55,46.9443442837685,78.8390243902439,5.3,0.23482215708568738,20.6842428493616,1.73484295105919,80.1150293129295,4.04710363964717,Canada 1999,6.138820814928603,2
Canada,2000,3.42261133957721,0.01735815360140694,79.478,1.51,46.505468173978,79.1668292682927,5.3,0.25558403230761956,20.6144677111521,2.71943995691976,82.7653578503214,9.17102428671511,Canada 2000,8.764211356804763,2
Canada,2001,3.45999036315513,0.0175942610072982,79.81,1.54,46.0490993934186,79.3980487804878,5.3,0.2508185451564351,19.6713949333135,2.52512013979906,78.3442183943698,3.84192129292476,Canada 2001,-1.8495562911135077,2
Canada,2002,3.497728426127,0.017832636312449628,79.888,1.52,45.6162132930749,79.5307317073171,5.3,0.25542497790987545,19.7393454062916,2.25839440940855,75.7070320779233,3.21914767807145,Canada 2002,1.8215148614309395,2
